delivery_id,delivery_window,route_type,delay_minutes,package_weight_kg
DL-001,Morning,Urban,3,8.5
DL-002,Morning,Suburban,5,12.0
DL-003,Afternoon,Urban,7,5.5
DL-004,Evening,Rural,9,18.2
DL-005,Morning,Urban,11,7.1
DL-006,Afternoon,Suburban,12,14.8
DL-007,Evening,Urban,14,6.2
DL-008,Morning,Rural,16,22.5
DL-009,Afternoon,Urban,18,9.0
DL-010,Evening,Suburban,20,11.4
DL-011,Morning,Urban,22,4.8
DL-012,Afternoon,Rural,24,20.1
DL-013,Evening,Urban,27,7.7
DL-014,Morning,Suburban,30,15.2
DL-015,Afternoon,Urban,34,6.8
DL-016,Evening,Rural,39,24.0
DL-017,Morning,Urban,45,8.9
DL-018,Afternoon,Suburban,52,13.6
DL-019,Evening,Urban,68,5.9
DL-020,Morning,Rural,95,27.4
DL-021,Afternoon,Urban,140,10.3
DL-022,Evening,Suburban,,16.1
