dispatch_id,job_difficulty_score,technician_hours,service_region,job_type
FD-001,2,1.8,Central,Inspection
FD-002,3,2.6,North,Repair
FD-003,4,3.9,South,Installation
FD-004,5,5.2,Central,Repair
FD-005,6,6.7,North,Repair
FD-006,7,8.6,South,Installation
FD-007,8,10.5,Central,Installation
FD-008,2,2.1,North,Inspection
FD-009,3,3.4,South,Repair
FD-010,4,4.1,Central,Repair
FD-011,5,5.9,North,Installation
FD-012,6,7.3,South,Repair
FD-013,7,9.8,Central,Installation
FD-014,8,11.1,North,Installation
FD-015,1,1.2,South,Inspection
FD-016,3,2.9,Central,Inspection
FD-017,4,5.0,North,Repair
FD-018,5,6.1,South,Installation
FD-019,6,7.0,Central,Repair
FD-020,7,10.4,North,Installation
FD-021,8,12.0,South,Installation
FD-022,9,13.8,Central,Installation
FD-023,2,1.6,North,Inspection
FD-024,4,4.7,South,Repair
FD-025,5,5.4,Central,Repair
FD-026,6,8.2,North,Installation
FD-027,7,9.1,South,Repair
FD-028,9,15.6,Central,Installation
FD-029,3,3.1,North,Inspection
FD-030,4,4.4,South,Repair
FD-031,5,6.8,Central,Installation
FD-032,6,7.6,North,Repair
FD-033,7,8.9,South,Repair
FD-034,8,12.9,Central,Installation
FD-035,5,11.8,North,Inspection
FD-036,9,16.4,South,Installation
